"Country","Year","Community_service","Detention_short_or_long_term","Fines","Ignition_interlocks_alcolocks_","License_suspended_revoked","Mandatory_treatment","Penalty_points","Vehicle_impounded"
"Turkey","2012","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Turkmenistan","2012","No","No","Yes","No","Yes","No","No","No"
"Tuvalu","2012","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Uganda","2012","No","Yes","Yes","No","Yes","No","No","Yes"
"Ukraine","2012","Yes","Yes","Yes","No","Yes","No","No","Yes"
"United Arab Emirates","2012","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","2012","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"United Republic of Tanzania","2012","No","Yes","Yes","No","Yes","No","No","No"
"United States of America","2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Uruguay","2012","No","No","Yes","No","Yes","No","No","No"
"Uzbekistan","2012","No","No","Yes","No","Yes","No","No","No"
"Vanuatu","2012","","","","","","","",""
"Venezuela (Bolivarian Republic of)","2012","Yes","No","Yes","No","Yes","No","No","Yes"
"Viet Nam","2012","No","Yes","Yes","No","Yes","No","No","Yes"
"Yemen","2012","No","No","No","No","No","No","No","No"
"Zambia","2012","No","No","Yes","No","Yes","No","No","Yes"
"Zimbabwe","2012","Yes","Yes","Yes","No","Yes","No","No","Yes"
